,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,n_articles
5467,Vrouw (60) van tas en portemonnee beroofd in Bergen op Zoom,Politie onderzoekt verschillende straatroven in Bergen op Zoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3490,Jimmy Osmond in ziekenhuis na beroerte,Zanger en acteur Jimmy Osmond in ziekenhuis na beroerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4398,Agassi voorspelt: ‘Djokovic breekt record Federer’,Federer voegt Madrid Open toe aan programma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5408,GHB-gebruiker rijdt al slingerend door Breda en verliest bewustzijn,Man verliest bewustzijn bij rijden onder invloed van GHB door Breda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4371,"Labour-afgevaardigde moet drie jaar de cel in, maar weigert parlementszetel op te geven",Celstraf voor Brits Kamerlid dat loog om onder verkeersboete uit te komen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3989,"Nettoloon van vrijwel iedereen omhoog, maar bijna alles op aan extra uitgaven","Nettolonen stijgen voor bijna iedereen, maar kosten ook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4743,"Meer overtredingen met bestrijdingsmiddelen, met name in de sierteelt",Forse toename in overtredingen bij gebruik en handel bestrijdingsmiddelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3142,'Zachtere voeding vormde kaken en bracht nieuwe klanken',"Vroege mens deed het zonder v, w en f – want die kon zijn gebit niet aan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2943,Chris Brown toch aangeklaagd voor illegaal houden kapucijnaapje,'Chris Brown ontkent dat kapucijnaapje van hem was',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3828,Xelly doet een ‘gender reveal’ en Ellemieke heeft maanziekte,Baby Chantal Janzen plundert koelkast en Fred laat zich kussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3853,Daan Boom ‘fucking vereerd’ met titel Best Geklede Man,Streetlab-presentator Daan Boom verkozen tot Best Geklede Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1904,Gemeente Zandvoort wil 4 miljoen euro investeren in Formule 1,Gemeente Zandvoort bereid om 4 miljoen te steken in Formule 1,Gemeente Zandvoort wil 4 miljoen euro in Formule 1-race steken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5041,Britse prins Philip (97) biedt in brief excuses aan voor auto-ongeluk,Prins Philip zegt sorry voor ongeluk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1541,"Uitslaande brand verwoest zwembad De Boetzelaer in Monster, rookwolken trekken door de regio",Grote uitslaande brand in zwembad in Monster,"Uitslaande brand bij zwembad De Boetzelaer in Monster, rookwolken trekken door de regio","Zwembad De Boetzelaer in Monster afgebrand, rook trekt door de regio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1300,Unilever-topman Polman treedt terug na turbulent laatste jaar,"Unilever-topman Paul Polman treedt terug, Alan Jope volgt hem op",Met benoeming nieuwe topman Alan Jope wordt Unilever-bestuur Britser,Profiel: 'Groene CEO' Paul Polman stelde toch aandeelhouders voorop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2277,Vliegverkeer Hannover stilgelegd nadat automobilist  door hek breekt,Vliegverkeer luchthaven Hannover stilgelegd na incident met automobilist,Vliegverkeer Hannover stilgelegd nadat gedrogeerde automobilist  door hek breekt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1470,Armeens gezin moet definitief het land uit,"Continue kerkdienst voor Hayarpi gaat door, ook na volgende afwijzing van staatssecretaris Harbers",Armeens gezin in Haagse kerk moet definitief Nederland verlaten,Armeens gezin in kerk hoopt voor Kerst uitsluitsel over verblijf te krijgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2700,Rick (17) uit Almelo raakte gewond tijdens het carbidschieten: ‘Gelukkig is het goed afgelopen’,Rick (17) uit Almelo raakte gewond tijdens het carbidschieten: ‘Opeens was er een steekvlam’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1740,'Zeecontainers in Amsterdam illegaal verhuurd als hotel via Airbnb',Airbnb-exces in Amsterdam: zeecontainers als hotel verhuurd,Verhuur zeecontainers via Airbnb was scam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3161,Heleen gaat strijd aan met leguanen en Nick leeft op te grote voet,"Bikinibabe Christina chillt in Texas, Fred is in vrolijke bui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3574,William Barr wordt voor tweede keer Amerikaanse minister van Justitie,William Barr opnieuw justitieminister VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2271,Connie Witteman en vriend Eugene van Dun beëindigen relatie,Connie Witteman en Eugène van Dun uit elkaar,Eugène verslagen door breuk met Connie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5682,Nicolette verlangt terug naar eerste liefde en Jan Smit bouwt Taj Mahal na,Anne-Marie spaarde seksplakplaatjes en Jan begint eigen nannybureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2359,Rechter haalt streep door zaak om macaber 1000-jarig Boeddhabeeld,China krijgt in Nederland verdwenen mummie voorlopig niet terug,Rechter haalt streep door zaak om macaber duizendjarig Boeddhabeeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
